city,state,Populacao_Estimada,Porcentagem_Populacao_Confirmado,Confirmados_Acumulado,Obitos_Acumulados,Taxa_Mortalidade,Taxa_Letalidade,Confirmacao_Dia,Obitos_Dia
Rio Bananal,ES,19271,13.93,2685,32,0.17,1.19,0,0
Rio Novo do Sul,ES,11626,14.19,1650,29,0.25,1.76,2,0
Santa Leopoldina,ES,12197,9.61,1172,28,0.23,2.39,9,0
Santa Maria de Jetibá,ES,41015,14.09,5778,55,0.13,0.95,12,0
Santa Teresa,ES,23724,18.89,4481,61,0.26,1.36,9,0
Serra,ES,527240,13.11,69140,1439,0.27,2.08,66,0
Sooretama,ES,30680,11.29,3465,62,0.20,1.79,14,0
São Domingos do Norte,ES,8687,17.02,1479,21,0.24,1.42,6,0
São Gabriel da Palha,ES,38522,18.02,6943,83,0.22,1.20,10,0
São José do Calçado,ES,10546,10.50,1107,62,0.59,5.60,13,0
São Mateus,ES,132642,10.01,13275,275,0.21,2.07,31,1
São Roque do Canaã,ES,12510,14.18,1774,20,0.16,1.13,0,0
Vargem Alta,ES,21591,11.46,2474,45,0.21,1.82,0,0
Venda Nova do Imigrante,ES,25745,17.91,4610,52,0.20,1.13,1,0
Viana,ES,79500,10.83,8610,256,0.32,2.97,10,0
Vila Pavão,ES,9244,11.36,1050,17,0.18,1.62,0,0
Vila Valério,ES,14073,22.84,3214,33,0.23,1.03,11,0
Vila Velha,ES,501325,13.61,68211,1648,0.33,2.42,39,4
Vitória,ES,365855,16.08,58813,1228,0.34,2.09,198,0
Água Doce do Norte,ES,10909,8.17,891,41,0.38,4.60,13,1
Águia Branca,ES,9631,20.06,1932,60,0.62,3.10,0,0
Abadia de Goiás,GO,8958,18.42,1650,37,0.41,2.24,0,0
Abadiânia,GO,20461,2.36,482,39,0.19,8.07,0,0
Acreúna,GO,22546,10.80,2435,54,0.24,2.22,0,0
Adelândia,GO,2516,8.82,222,4,0.16,1.79,0,0
Alexânia,GO,28010,11.89,3330,83,0.30,2.49,0,0
Aloândia,GO,1986,16.05,319,11,0.55,3.44,0,0
Alto Horizonte,GO,6605,14.82,979,13,0.20,1.33,0,0
Alto Paraíso de Goiás,GO,7688,8.91,685,8,0.10,1.17,0,0
Alvorada do Norte,GO,8705,8.98,782,8,0.09,1.02,0,0
Amaralina,GO,3845,2.96,114,2,0.05,1.74,0,0
Americano do Brasil,GO,6164,13.25,817,23,0.37,2.81,0,0
